CompanyId,CompanyName,Street,City,State,Zip
1,"Tech Innovators","123 Innovation Dr","San Francisco",CA,94105
2,"Global Solutions","456 Market St","New York",NY,10001
3,"Urban Outfitters, Inc.","789 Elm St",Austin,TX,73301
4,"Green Energy","101 Greenway Blvd",Portland,OR,97204
5,"Digital Edge","202 Digital Ln",Seattle,WA,98101
6,"NextGen Systems","55 Tech Park",Boston,MA,02108
7,"Cloud Networks","77 Cloud St",Chicago,IL,60601
8,"DataStream Inc.","89 Data Ave","Los Angeles",CA,90001
9,"AI Dynamics","120 Future Rd",Denver,CO,80202
10,"Quantum Solutions","15 Quantum Blvd",Miami,FL,33101
